# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistar/
# File created at Friday 30th of March 2018 03:12:12 AM BST
REF748	64.137.197.36
REF750	203.86.206.49
REF752	103.240.187.180
REF755	178.22.148.229
REF766	201.62.48.61
REF773	94.177.175.230
REF775	149.202.61.17
REF776	219.98.201.128
REF781	101.143.242.199
REF787	87.154.57.231
REF794	101.143.242.95
REF800	45.62.247.26
REF801	213.47.71.17
REF803	77.117.186.120
REF806	62.203.54.167
REF807	153.167.124.196
REF808	18.220.252.27
REF810	64.137.238.189
REF812	203.145.233.141
REF813	97.76.81.165
REF844	137.226.79.122
REF850	88.198.94.77
REF870	103.3.234.95
REF878	203.137.123.113
REF883	153.185.12.132
REF886	118.163.103.178
REF887	118.163.103.177
REF888	31.14.135.7
REF889	130.149.36.93
REF900	94.177.237.192
REF906	212.237.11.53
REF907	88.3.74.11
REF908	92.222.23.124
REF909	216.86.147.198
REF910	94.177.207.26
REF911	5.196.73.89
REF921	44.143.184.83
REF922	81.150.10.62
REF925	90.254.158.144
REF929	158.69.166.132
REF930	94.177.160.5
REF931	68.131.24.8
REF933	164.132.104.167
REF940	202.218.37.121
REF944	202.218.34.210
REF945	155.94.147.186
REF950	158.64.26.134
REF964	52.173.142.244
REF973	211.14.169.43
REF974	94.177.217.52
REF975	176.31.161.9
REF986	81.89.102.160
REF987	185.32.183.148
REF989	75.110.248.112
REF990	35.164.237.63
REF991	2.237.27.66
REF995	158.69.201.255
REF997	94.177.187.40
REF998	44.140.236.20
REF999	94.177.173.53
W5DRA	75.66.21.213
4O0DPG	89.188.45.99
9A0DOS	90.134.240.136
9A0DST	83.177.16.16
9A0DZD	83.180.126.42
9A0DZG	78.134.209.194
AA1HD	173.166.94.241
AA4PP	208.54.85.183
BR2SY	182.200.60.61
CQ0DAM	94.63.182.214
CQ0DCH	82.155.243.6
CQ0DKE	89.115.108.67
CQ0DPF	95.94.99.104
CQ0DSE	77.54.32.190
CQ0DTV	2.82.184.21
DB0AFZ	92.50.67.6
DB0AMK	93.224.95.28
DB0BLB	93.196.28.15
DB0BS	134.19.76.165
DB0CI	79.249.36.161
DB0DAM	194.94.26.157
DB0DB	185.70.220.35
DB0DBN	91.21.104.184
DB0DJ	217.92.28.60
DB0DLR	109.41.72.102
DB0DOS	131.173.32.247
DB0DRB	88.207.202.202
DB0EAT	82.82.221.18
DB0EIS	88.152.152.98
DB0ERZ	46.227.221.228
DB0ESS	80.81.9.242
DB0FIB	78.111.116.226
DB0GM	87.148.165.39
DB0GV	93.215.184.208
DB0GZL	62.226.87.226
DB0HAS	87.176.84.200
DB0HCC	93.232.168.103
DB0HDF	146.52.204.11
DB0HE	109.91.59.22
DB0HEL	84.183.96.107
DB0HEW	89.15.239.44
DB0HFD	178.208.98.198
DB0HFT	194.94.26.189
DB0HGW	62.224.144.172
DB0HUS	217.228.114.136
